,Nombre,Direccion,Coordenadas,latitud,longitud
163,Restaurante El Churrasco,"Calle Romero, 16 14003 Córdoba","{'type': 'Point', 'coordinates': [-4.7818471, 37.8800342]}",37.8800342,-4.7818471
164,Restaurante Noor,"Calle Pablo Ruiz Picasso, 8. 14014 Córdoba","{'type': 'Point', 'coordinates': [-4.202703, 37.4413201]}",37.4413201,-4.202703
165,Restaurante Cocina Hermanos Torres,"Carrer del Taquígraf Serra, 20. 08029 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [2.1401414071, 41.3863062]}",41.3863062,2.1401414071
166,Restaurante Cantina La Estación,"Cuesta Rodadera, 1, Úbeda, Jaén.","{'type': 'Point', 'coordinates': [-3.3672187, 38.0116761]}",38.0116761,-3.3672187
167,Restaurante ABaC,"Avenida Tibidabo,1. 08022 Barcelona","{'type': 'Point', 'coordinates': [2.1365386, 41.4104436]}",41.4104436,2.1365386
168,Restaurante Lasarte,"Calle Mallorca, 259. 08008 Barcelona","{'type': 'Point', 'coordinates': [2.1863173, 41.4936096]}",41.4936096,2.1863173
169,Restaurante Arte de Cozina,"Calle Calzada, 27 29200 Antequera (Málaga)","{'type': 'Point', 'coordinates': [-4.5579799, 37.0183284]}",37.0183284,-4.5579799
170,Restaurante Canela en Rama,"Calle Espronceda, 22. 23700 Linares (Jaén)","{'type': 'Point', 'coordinates': [-3.6316777, 38.0957463]}",38.0957463,-3.6316777
171,Restaurante Vía Veneto,"Calle Ganduxer, 10. 08021 Barcelona","{'type': 'Point', 'coordinates': [2.1391279, 41.392474]}",41.392474,2.1391279
172,Restaurante DiverXO,"Calle Padre Damián, 23 28036 Madrid","{'type': 'Point', 'coordinates': [-3.864349, 40.7268324]}",40.7268324,-3.864349
173,Restaurante Casa Bigote,"Pórtico de Bajo de Guía, 10. 11540 Sanlúcar de Barrameda (Cádiz)","{'type': 'Point', 'coordinates': [-6.3519811, 36.7890552]}",36.7890552,-6.3519811
174,Restaurante DSTAgE,"Calle Regueros, 8 28004 Madrid","{'type': 'Point', 'coordinates': [-3.6963316, 40.4245942]}",40.4245942,-3.6963316
175,Restaurante Kabuki Wellington,"Calle Velázquez, 6. 28001 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7798725, 40.3363102]}",40.3363102,-3.7798725
176,Restaurante Paco Roncero,"Calle Alcalá, 15 28014 Madrid","{'type': 'Point', 'coordinates': [-3.3019204, 40.298463]}",40.298463,-3.3019204
177,Restaurante El Celler de Can Roca,"Carrer de Can Sunyer, 48, 17007 Girona, España","{'type': 'Point', 'coordinates': [2.8077671336, 41.99340125]}",41.99340125,2.8077671336
178,Restaurante Ramón Freixa,"Calle Claudio Coello, 67. 28001 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-4.1466444, 40.5938943]}",40.5938943,-4.1466444
179,Restaurante Ricard Camarena Restaurant,"Avenida de Burjassot, 54 46009 Valencia","{'type': 'Point', 'coordinates': [-0.3852453, 39.4852529]}",39.4852529,-0.3852453
